2222, 0, 1, 30, 6, BUBBLE, 4873, 0
2222, 0, 2, 30, 6, BUBBLE, 12799, 1
2222, 0, 3, 30, 6, BUBBLE, 3356, 2
2222, 0, 4, 30, 6, BUBBLE, 1022, 1
2222, 0, 5, 30, 6, BUBBLE, 1570, 0
745, 0, 1, 30, 6, ROPE, 2182, 0
745, 0, 2, 30, 6, ROPE, 1404, 0
745, 0, 3, 30, 6, ROPE, 5915, 0
745, 0, 4, 30, 6, ROPE, 2637, 0
745, 0, 5, 30, 6, ROPE, 2241, 0
745, 0, 6, 30, 6, ROPE, 2187, 0
745, 0, 7, 30, 6, ROPE, 1980, 0
745, 0, 8, 30, 6, ROPE, 1643, 0
745, 0, 9, 30, 6, ROPE, 1226, 0
745, 0, 10, 30, 6, ROPE, 923, 0
745, 0, 11, 30, 6, ROPE, 2214, 0
745, 0, 12, 30, 6, ROPE, 4401, 0
745, 0, 13, 30, 6, ROPE, 1241, 0
745, 0, 14, 30, 6, ROPE, 923, 0
745, 0, 15, 30, 6, ROPE, 3765, 0
745, 0, 1, 30, 12, ROPE, 38598, 0
